ad_number,title,type,Service/Office,Office of Primary Responsibility,published_date,effective_date,CFR Part Reference,CFR Subpart/Appendix Reference,CFR Section Reference
79-10-14 R1,"Airworthiness Directives; CESSNA Models 140A, 150, A150, 170, 172, 175, P172D, R172, 177, 180, 182, 185, A185, 188, A188, 205, 206, U206, TU206, P206, TP206, 207, T207, 210, T210, 336, 337, T337, M337B Series Airplanes",AD Final Rules,,,03/03/2011,05/30/1988,Part 39,,
76-04-03,"Airworthiness Directives; CESSNA Models 172L & M, F172K, L & M, FR172H & J, 177B, 177RG, F177RG, 180H & J, 182N & P, A185E & F, P206E, TP206E, U206E & F, TU206E & F, 207, T207, 210K & L, T210K & L, 310Q, T310Q, 310R, T310R, 337E, F, & G, T337E & F, F337E, F, G, T337G, F337GP, 340, 401B, 402B, 414, and 421B Airplanes",AD Final Rules,,,03/03/2011,02/26/1976,Part 39,,
79-08-03,"Airworthiness Directives; CESSNA Models 120, 140, 150, A150, 170, 172, R172, P172, 175, 177, 177RG, 180, 182, 185, 188, 190, 195, 210-5 (205), 210-5A (205A), 206, U206, TU206, P206, TP206, 207, 210, and T210 Series Airplanes",AD Final Rules,,,03/03/2011,06/06/1979,Part 39,,
80-25-07 R1,Airworthiness Directives; STEWART-WARNER CORPORATION Oil Coolers,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,09/24/1981,09/24/1981,Part 39,,
2020-18-01,Airworthiness Directives; Textron Aviation Inc. Airplanes,AD Final Rules,,,10/07/2020,11/12/2020,Part 39,,
86-19-11,"Airworthiness Directives; Cessna Models R172 thru R172K, FR172E thru FR172K, 177 thru 177B and 177RG, F177RG, 185 thru 185E, A185E, A185F, A188, A188A, A188B, T188C, 205 and 205A, 206, U206, U206A thru U206G, TU206A thru TU206G, P206, P206A thru P206E, TP206A thru TP206E, 207 and 207A, T207 and T207A. 210B thru 210R, T210F thru T210R, P210N and P210R Airplanes",AD Final Rules,,,03/02/2011,10/04/1986,Part 39,,
77-12-08,"Airworthiness Directives; CESSNA Models 172M, 172N, R172K, 177B, 177RG, 180J, 180K, 182P, 182Q, A185F, U206F/TU206F, U206G/TU206G, 207/T207, 207A/T207A, 210L/T210L, 337G and T337G Airplanes",AD Final Rules,,,08/10/2011,06/27/1977,Part 39,,
96-09-06,"Airworthiness Directives; Brackett Aircraft Company, Inc. Air Filter Assemblies Installed on Airplanes",AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,04/29/1996,06/07/1996,Part 39 (61 FR 18667  NO. 83  04/29/96),,
81-15-03,"Airworthiness Directives; BRACKETT AIRCRAFT COMPANY, INC. Brackett Aircraft Specialties, Inc.: Applies to Brackett Aircraft Company, Inc., Engine Inlet Air Filters",AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,07/13/1981,07/20/1981,Part 39,,
96-12-22,Airworthiness Directives; Cessna Aircraft Company Engine Oil Filter Adapter Assemblies Installed on Aircraft,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,06/17/1996,07/31/1996,Part 39 (61 FR 30501  NO. 117  06/17/96),,
98-14-03,Airworthiness Directives; AlliedSignal Inc. KT 76A Air Traffic Control (ATC) Transponders.,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,07/01/1998,08/16/1998,Part 39 [63 FR 35787 No. 126 07/01/98],,
85-23-07,"Airworthiness Directives; KING RADIO CORPORATION Models KFC 150, KAP 150 and KAP 100 Autopilot Systems",AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,01/21/1987,01/27/1986,Part 39,,
98-21-21 R1,Airworthiness Directives; Bob Fields Aerocessories Inflatable Door Seals,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,03/09/2000,05/01/2000,Part 39 [65 FR 12463  3/9/2000],,
2006-03-08,Airworthiness Directives; Aero Advantage ADV200 Series (Part Numbers ADV211CC and ADV212CW) Vacuum Pumps,AD Final Rules,,,02/07/2006,03/10/2006,Part 39,,
98-25-02,"Airworthiness Directives; BF Goodrich Avionics Systems, Inc. SKYWATCH SKY497 Installations with a Top-Mounted Antenna",AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,12/03/1998,12/22/1998,Part 39 (63 FR 66746 No. 232  12/03/98),,
78-01-14,Airworthiness Directives; CESSNA Model 182 Series Airplanes,AD Final Rules,,,03/03/2011,01/23/1978,Part 39,,
2005-25-08,Airworthiness Directives; Shadin ADC-2000 Air Data Computers,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,12/12/2005,01/23/2006,Part 39,,
98-04-38,"Airworthiness Directives; Cessna Model 500, 501, 550, 551, and 560 Series Airplanes",AD Final Rules,,,03/03/2011,03/25/1998,Part 39 [63 FR 8089  NO. 32  02/18/98],,
67-26-04,"Airworthiness Directives; WESTON GARWIN CARRUTH: Applies to Aircraft Equipped with Model 22-374 Series Altimeters, except those Altimeters which have been Modified and Marked with a White : ""M-1"" on the Back of the Instrument",AD Final Rules,,,09/16/1967,,Part 39,,
2005-01-19,"Airworthiness Directives; GARMIN International Inc. GTX 33, GTX 33D, GTX 330, and GTX 330D Mode S Transponders",AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,01/19/2005,02/23/2005,Part 39,,
95-09-13,"Airworthiness Directives; Cessna Aircraft Company Models T303, 402C, 404, 414A, and 421C Airplanes",AD Final Rules,,,05/08/1995,06/14/1995,Part 39 [60 FR 22496  NO. 88  5/8/95],,
80-21-03,"Airworthiness Directives; Cessna Model 210K, 210L, 210M, 210N, T210K, T210L, T210M, T210N and P210N Airplanes",AD Final Rules,,,08/10/2011,10/23/1980,Part 39,,
2006-12-07,Airworthiness Directives; Engine Components Inc. (ECi) Reciprocating Engine Cylinder Assemblies,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,06/06/2006,07/11/2006,Part 39,,
98-04-28,"Airworthiness Directives; Cessna Models T303, 310R, T310R, 335, 340A, 402B, 402C, 404, F406, 414, 414A, 421B, 421C, 425, and 441 Airplanes.",AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7684 No. 31 02/17/98],,
2007-04-19R1,"Airworthiness Directives; Superior Air Parts, Inc. (SAP), Cylinder Assemblies Part Numbers Series: SA47000L, SA47000S, SA52000, SA55000, SL32000W, SL32000WH, SL32006W, SL36000TW, SL36000W, and SL36006W",AD Final Rules,,,04/02/2007,05/07/2007,Part 39,,
77-16-01,MCCAULEY PROPELLERS Models,AD Final Rules,,,12/13/2011,08/09/1977,Part 39,,
93-05-06,Airworthiness Directives; ACS PRODUCTS COMPANY AND GERDES PRODUCTS COMPANY Ignition Switches,AD Final Rules,,,04/26/2011,04/29/1993,Part 39,,
2009-26-12,"Airworthiness Directives; Engine Components, Inc. (ECi) Reciprocating Engine Cylinder Assemblies",AD Final Rules,,,12/31/2009,02/04/2010,Part 39,,
98-23-01,"Airworthiness Directives; PARKER HANNIFIN CORPORATION Dry Air Pumps, Conversion Kits, and Coupling Kits",AD Final Rules,,,12/02/2011,,Part 39,,
98-23-01,"Airworthiness Directives; Parker Hannifan Airborne Dry Air Pumps, Conversion Kits, and Coupling Kits",AD Final Rules,,,11/17/1998,11/20/1998,Part 39 [63 FR 63784 No. 221  11/17/98],,
79-08-06,Airworthiness Directives; MARVEL-SCHEBLER/TILLOTSON: Applies to HAJ-6 Part Number 10-5243 Carburetors,AD Final Rules,,,12/13/2011,04/25/1979,Part 39,,
64-24-04,"MCCAULEY Models 2A36, B2A36, C2A36, D2A36, 2D36 Series Propellers",AD Final Rules,,,10/24/1964,11/20/1964,Part 39,,
2003-05-01,"Airworthiness Directives; Wytwornia Sprzetu Komunikacyjnego (WSK) PZL-Rzeszow S.A. Franklin 6A-350-C1, -C1A, -C1L, -C1R -C2, -C2A, and 4A-235 Series Reciprocating Engines",AD Final Rules,,,03/06/2003,03/21/2003,Part 39,,
